Batch No,SGD L1 Accuracy,SGD L2 Accuracy,NB alpha 1 Accuracy,NB alpha 2 Accuracy,NB alpha 4 Accuracy,PA C 1 Accuracy,PA C 5 Accuracy
0,0.7787,0.7982,0.6949,0.5327,0.5032,0.8216,0.8044
1,0.7742,0.807,0.8628,0.8405,0.7811,0.8179,0.8036
2,0.7773,0.7987,0.8482,0.8047,0.711,0.8255,0.7998
3,0.7683,0.793,0.8384,0.7933,0.692,0.8244,0.7998
4,0.7531,0.775,0.827,0.7976,0.7254,0.8136,0.7774
5,0.7595,0.7806,0.8373,0.8023,0.7432,0.8141,0.7984
6,0.76,0.7796,0.837,0.8162,0.791,0.8107,0.7837
7,0.7602,0.7785,0.833,0.8165,0.8017,0.8153,0.794
8,0.7618,0.7786,0.8318,0.8166,0.8012,0.8225,0.7975
9,0.769,0.7822,0.8338,0.8202,0.8053,0.8139,0.7944
10,0.7636,0.7753,0.8286,0.8172,0.8061,0.8266,0.802
11,0.7536,0.7709,0.8274,0.8155,0.8011,0.8138,0.777
12,0.7557,0.7685,0.8264,0.8138,0.798,0.7988,0.7763
13,0.7578,0.7715,0.8243,0.8105,0.7989,0.8245,0.8054
14,0.7518,0.7649,0.8204,0.8072,0.7941,0.8218,0.7937
15,0.7523,0.7663,0.8157,0.8039,0.7924,0.8218,0.8015
16,0.7468,0.7683,0.8196,0.8063,0.7966,0.8226,0.7941
17,0.7525,0.7685,0.8156,0.8041,0.7928,0.7988,0.7726
18,0.7564,0.7644,0.8163,0.8014,0.79,0.8107,0.7882
19,0.754,0.7663,0.8231,0.8093,0.7981,0.814,0.7926
20,0.7515,0.7654,0.8221,0.8093,0.7972,0.8233,0.7878
21,0.7465,0.7579,0.811,0.7989,0.7864,0.8066,0.7823
22,0.7469,0.7623,0.8121,0.8028,0.7886,0.8186,0.7985
23,0.7521,0.7703,0.8195,0.8098,0.799,0.8221,0.7953
24,0.7555,0.7712,0.8217,0.8124,0.8011,0.8215,0.7983
25,0.7498,0.7622,0.8135,0.8045,0.7943,0.8196,0.8053
26,0.744,0.7625,0.8061,0.7961,0.7864,0.8175,0.7938
27,0.7507,0.7636,0.8127,0.8017,0.7887,0.8194,0.7993
28,0.7421,0.7577,0.8077,0.7979,0.787,0.8202,0.8015
29,0.7553,0.7683,0.8167,0.8068,0.7947,0.821,0.8101
30,0.7507,0.7623,0.8133,0.8036,0.7928,0.8256,0.7956
31,0.7487,0.7588,0.8021,0.7929,0.7839,0.8146,0.8031
32,0.7535,0.7625,0.8133,0.8001,0.7926,0.8272,0.8046
33,0.7473,0.7654,0.813,0.8039,0.7938,0.8092,0.7842
34,0.7504,0.7624,0.8136,0.8018,0.7914,0.8191,0.8015
35,0.7453,0.7569,0.8056,0.7931,0.7835,0.8195,0.795
36,0.7487,0.7639,0.8151,0.8062,0.7942,0.8208,0.8005
37,0.7493,0.7634,0.8157,0.8045,0.7954,0.8266,0.8028
38,0.7447,0.757,0.8022,0.793,0.7831,0.8114,0.7864
39,0.7519,0.7649,0.8154,0.806,0.7958,0.8269,0.8053
40,0.7485,0.7589,0.8129,0.8038,0.795,0.8215,0.8008
41,0.7452,0.7577,0.8041,0.7929,0.7823,0.8193,0.7924
42,0.7494,0.7573,0.8065,0.7963,0.7856,0.8209,0.8048
43,0.7452,0.7596,0.7989,0.7887,0.7799,0.8133,0.7873
44,0.7515,0.7679,0.8119,0.8026,0.7933,0.8222,0.8022
45,0.7529,0.7647,0.8112,0.8012,0.7942,0.8204,0.7984
46,0.7516,0.762,0.8131,0.8039,0.795,0.8223,0.8114
47,0.7377,0.7546,0.8003,0.7916,0.783,0.8167,0.7964
48,0.7597,0.7707,0.8122,0.8019,0.7938,0.8282,0.8111
49,0.7546,0.7653,0.8101,0.7996,0.791,0.8154,0.7951
50,0.7477,0.7612,0.811,0.8005,0.7905,0.8173,0.7988
51,0.7416,0.7598,0.8121,0.8031,0.7928,0.8258,0.806
52,0.7431,0.7558,0.8049,0.7971,0.7881,0.8178,0.7925
53,0.747,0.7639,0.8098,0.7991,0.7871,0.814,0.7957
54,0.7439,0.7614,0.803,0.7932,0.7852,0.8153,0.8084
55,0.7465,0.7583,0.8008,0.7919,0.7845,0.8239,0.8077
56,0.7484,0.7608,0.8162,0.807,0.799,0.8282,0.812
57,0.7419,0.7561,0.8041,0.7938,0.7844,0.8197,0.8053
58,0.7471,0.7557,0.8069,0.7971,0.7887,0.8149,0.7975
59,0.7446,0.7585,0.8087,0.8012,0.7929,0.8245,0.8108
60,0.7445,0.7561,0.8036,0.7956,0.7864,0.8221,0.8021
61,0.7434,0.7572,0.804,0.7955,0.7888,0.8146,0.798
62,0.7399,0.7513,0.8026,0.7933,0.7863,0.8119,0.7862
63,0.7399,0.7547,0.8024,0.7918,0.7831,0.817,0.7799
64,0.7387,0.7553,0.8044,0.7953,0.7871,0.8177,0.7972
65,0.7437,0.7597,0.8062,0.7961,0.7866,0.8232,0.7904
66,0.7478,0.7605,0.7993,0.7894,0.7825,0.817,0.7892
67,0.739,0.7507,0.7979,0.79,0.7831,0.8029,0.777
68,0.7444,0.7563,0.8066,0.7968,0.7873,0.8209,0.7823
69,0.7464,0.7581,0.8023,0.7938,0.7882,0.8178,0.7862
70,0.7418,0.7564,0.804,0.7963,0.7893,0.8126,0.791
71,0.7468,0.7647,0.8098,0.8016,0.7921,0.8273,0.8004
72,0.7461,0.7601,0.8062,0.7979,0.7902,0.8208,0.8058
73,0.7421,0.7533,0.8014,0.7929,0.7855,0.8135,0.7814
74,0.7382,0.7516,0.8,0.7902,0.7818,0.8142,0.7932
75,0.7441,0.7586,0.8011,0.7923,0.7863,0.8235,0.8127
76,0.7501,0.7586,0.8048,0.7963,0.7858,0.8236,0.8047
77,0.7421,0.7568,0.8049,0.7969,0.7877,0.8103,0.7865
78,0.7406,0.7537,0.7994,0.7901,0.7822,0.8151,0.7922
79,0.7417,0.7547,0.8072,0.7978,0.7916,0.821,0.7994
80,0.7501,0.7622,0.8085,0.8014,0.7949,0.8225,0.7971
81,0.7466,0.7607,0.7996,0.7924,0.7859,0.8185,0.7989
82,0.743,0.756,0.8055,0.7993,0.7904,0.8221,0.7979
83,0.7387,0.7505,0.7995,0.7919,0.7843,0.8195,0.7969
84,0.7421,0.7584,0.8078,0.8012,0.7926,0.8207,0.7976
85,0.7481,0.7633,0.8049,0.7946,0.7878,0.8244,0.8005
86,0.7473,0.7566,0.7964,0.7906,0.7818,0.8152,0.7825
87,0.743,0.7578,0.8004,0.7927,0.7843,0.8161,0.7941
88,0.741,0.756,0.8011,0.7928,0.7832,0.8177,0.7856
89,0.7397,0.7545,0.7965,0.7874,0.7812,0.8129,0.7896
90,0.7472,0.7623,0.8015,0.792,0.7845,0.8171,0.7928
91,0.7487,0.762,0.8065,0.7983,0.7894,0.8186,0.794
92,0.7411,0.7515,0.7953,0.7861,0.7786,0.8246,0.7966
93,0.7521,0.7623,0.804,0.7964,0.7886,0.8305,0.8062
94,0.7429,0.7588,0.7996,0.7915,0.7833,0.8278,0.82
95,0.7428,0.7544,0.8013,0.794,0.7881,0.8126,0.7863
96,0.7449,0.7587,0.7993,0.7901,0.7823,0.8205,0.8049
97,0.7379,0.7568,0.8023,0.7917,0.785,0.8109,0.7979
98,0.7489,0.7601,0.8057,0.7958,0.7876,0.8213,0.7956
99,0.7401,0.7539,0.7954,0.7869,0.7797,0.8258,0.8116
100,0.7486,0.7596,0.7994,0.7939,0.7874,0.8223,0.8031
101,0.7475,0.7599,0.796,0.7895,0.7834,0.8115,0.7914
102,0.7502,0.7601,0.8037,0.7951,0.7876,0.8226,0.8107
103,0.746,0.7608,0.8011,0.7954,0.7859,0.8213,0.8019
104,0.7474,0.7575,0.7978,0.7911,0.7846,0.8243,0.795
105,0.7398,0.7537,0.7991,0.7913,0.7839,0.8153,0.7988
106,0.7437,0.7562,0.7969,0.7898,0.7833,0.8192,0.7987
107,0.7476,0.7604,0.8021,0.7944,0.7856,0.8155,0.7872
108,0.7466,0.7596,0.8011,0.7941,0.788,0.8286,0.8101
109,0.7499,0.7586,0.8004,0.7927,0.7869,0.8083,0.8053
110,0.7532,0.7655,0.8057,0.7972,0.7901,0.8281,0.8083
111,0.7395,0.7552,0.7975,0.7896,0.7826,0.8196,0.7949
112,0.746,0.7603,0.8006,0.7928,0.7848,0.8242,0.7994
113,0.7523,0.7651,0.8055,0.7978,0.7903,0.8218,0.8081
114,0.7508,0.7601,0.8024,0.7937,0.7872,0.815,0.7887
115,0.7452,0.7565,0.8005,0.7927,0.7853,0.8151,0.7896
116,0.7419,0.7543,0.7939,0.7866,0.7807,0.8217,0.8012
117,0.74,0.7551,0.8,0.7922,0.7874,0.8158,0.7938
118,0.7474,0.7622,0.7984,0.7915,0.7864,0.8242,0.8037
119,0.7444,0.7604,0.8011,0.794,0.7884,0.8234,0.8058
120,0.7417,0.7527,0.7926,0.7862,0.7792,0.8262,0.8108
121,0.7439,0.7554,0.7921,0.7846,0.7786,0.8179,0.7977
122,0.7429,0.7564,0.7991,0.7917,0.7854,0.8162,0.7963
