Batch No,SGD Accuracy,NB Accuracy,PA Accuracy
0,0.8408,0.508,0.8684
1,0.848,0.5444,0.8736
2,0.8676,0.7252,0.8688
3,0.8492,0.7068,0.8648
4,0.8536,0.8772,0.868
5,0.846,0.8716,0.8728
6,0.8356,0.8568,0.8664
7,0.8192,0.85,0.8512
8,0.8288,0.866,0.8624
9,0.824,0.8556,0.8564
10,0.8204,0.8548,0.844
11,0.8148,0.8508,0.8736
12,0.8008,0.8396,0.8568
13,0.8088,0.8396,0.8668
14,0.8048,0.8488,0.8636
15,0.8092,0.8388,0.862
16,0.7824,0.8428,0.8524
17,0.7788,0.8164,0.8524
18,0.7784,0.8248,0.842
19,0.788,0.8292,0.8552
20,0.798,0.8376,0.8684
21,0.7752,0.826,0.8568
22,0.7904,0.834,0.8552
23,0.7836,0.8404,0.8652
24,0.8,0.8372,0.8572
25,0.7876,0.8412,0.8532
26,0.7756,0.8308,0.86
27,0.7788,0.83,0.8464
28,0.7972,0.8296,0.8644
29,0.7816,0.8372,0.8652
30,0.7824,0.8312,0.848
31,0.778,0.834,0.8516
32,0.7956,0.8436,0.8772
33,0.7748,0.8332,0.8572
34,0.7668,0.8232,0.8464
35,0.7864,0.832,0.868
36,0.7868,0.8384,0.862
37,0.7776,0.834,0.8676
38,0.7996,0.8388,0.8624
39,0.7792,0.8288,0.8704
40,0.7744,0.8268,0.8548
41,0.7804,0.8288,0.8628
42,0.778,0.824,0.8608
43,0.786,0.8376,0.854
44,0.7684,0.8188,0.8484
45,0.7876,0.8372,0.8592
46,0.7748,0.826,0.87
47,0.776,0.8288,0.8724
48,0.7776,0.8228,0.836
49,0.7688,0.8316,0.852
50,0.7584,0.8224,0.854
51,0.7772,0.8288,0.8532
52,0.7664,0.8148,0.8536
53,0.7696,0.8264,0.8544
54,0.794,0.8296,0.8752
55,0.7756,0.8212,0.8596
56,0.7708,0.8228,0.8584
57,0.7696,0.8168,0.8548
58,0.7684,0.8232,0.8648
59,0.768,0.8188,0.8628
60,0.7764,0.8168,0.8608
61,0.7736,0.8192,0.8676
62,0.7604,0.8132,0.8472
63,0.7656,0.8164,0.8716
64,0.7632,0.8252,0.862
65,0.7592,0.8152,0.8656
66,0.7632,0.8152,0.8524
67,0.7864,0.8264,0.8192
68,0.7648,0.8052,0.842
69,0.7748,0.8176,0.8628
70,0.766,0.8228,0.856
