Batch No,SSE,Silhouette Score,Accuracy
0,4864.289746728346,0.007779532453006212,0.4788
1,4855.553267826336,0.007961353306446869,0.481
2,4847.491615647432,0.008068904184522368,0.4828
3,4836.844871576726,0.008717756618954488,0.483
4,4850.62873749298,0.008064700328266667,0.4864
5,4852.480738902155,0.008049735406070117,0.4694
6,4850.56771322006,0.00818688266364427,0.4824
7,4852.852379628985,0.007698743406518906,0.4804
8,4837.850599440205,0.008875057276309755,0.4894
9,4837.713983543068,0.008543588599517588,0.4862
10,4846.117726090988,0.008356469493433735,0.4766
11,4838.981316625939,0.009015152342617969,0.4896
12,4844.118932241522,0.00820136040934944,0.4866
13,4839.102783679184,0.00885508704491491,0.4894
14,4855.255235363566,0.007945889793173745,0.4814
15,4849.45915805225,0.008252000981961138,0.4876
16,4848.844128889506,0.00777935119569719,0.4812
17,4850.576731469322,0.008088600745574295,0.4896
18,4843.268362455622,0.008458605722344721,0.478
19,4847.45073851286,0.008231196347518597,0.4928
20,4852.286317154413,0.008057151234115958,0.4814
21,4836.332471568932,0.00921119011933912,0.4904
22,4848.0867735714055,0.008237590603668767,0.4794
23,4847.2547387078575,0.008243490548030676,0.4948
24,4848.817880544935,0.008150391856568377,0.492
25,4834.905553950023,0.009047894686419266,0.4924
26,4842.073274840997,0.008849812121085114,0.4894
27,4849.181042089781,0.007569445236130358,0.4866
28,4846.120081289767,0.008230813008068797,0.4962
29,4840.644827026441,0.008665600420341988,0.4694
30,4845.504944294382,0.00829005572962098,0.4788
31,4853.805968056318,0.007475048002393592,0.4926
32,4844.724629541999,0.0092565167709014,0.4792
33,4842.925239098795,0.00836863088636277,0.4808
34,4837.386361305991,0.009034627415023184,0.4788
35,4851.1714278825175,0.007950107529454653,0.4858
36,4846.161702585402,0.007822394634054675,0.4846
37,4853.430034839937,0.008127323943705645,0.4928
38,4848.152437220259,0.00830039877933083,0.476
39,4832.936352046448,0.009095761281621088,0.4772
40,4833.636916957463,0.008873646022344705,0.4796
41,4841.096392342031,0.008836963543775805,0.4894
42,4836.447898587545,0.009150857740105931,0.4904
43,4846.026278218287,0.008108052235410656,0.4912
44,4836.481468669784,0.009075347657975569,0.4796
45,4845.566503377309,0.008605979962151263,0.4926
46,4850.223589163646,0.00810114212540421,0.4832
47,4836.321631210606,0.008667702642243008,0.48
48,4833.219858475726,0.009011059461426722,0.4838
49,4846.39361543773,0.008440436724672836,0.4914
50,4826.086130474787,0.010131851093873339,0.4842
51,4838.6748904890155,0.008718563539855086,0.4834
52,4840.903186907874,0.00828823866886804,0.4862
53,4842.789626422671,0.008441408165827736,0.483
54,4844.497083298506,0.008378277847379724,0.488
55,4832.169977863444,0.009517432858947118,0.4852
56,4834.7574142751555,0.008815658141663551,0.4918
57,4845.092084523271,0.008497140303212912,0.4868
58,4849.547417265222,0.00789267928624957,0.482
59,4853.367409306728,0.007702999899708858,0.4724
60,4842.446878020766,0.008773036454241946,0.472
61,4847.764414571358,0.008341022395135268,0.4928
62,4841.52457446078,0.008448215948294372,0.4802
63,4842.889845681951,0.008587971377494145,0.4866
64,4850.977608267451,0.0077077434844250075,0.4968
65,4840.4217403020575,0.008990313548905275,0.4802
66,4833.792112779029,0.009552506983395138,0.4712
67,4839.353873316746,0.009294211815232644,0.4832
68,4845.643682508181,0.00819578653984596,0.4826
69,4854.762926798247,0.007716516523454881,0.4812
70,4855.912666862561,0.007740635864720372,0.4756
71,4855.2806920158255,0.0074790132236271095,0.4748
72,4837.518770382471,0.008924709033089336,0.4864
73,4828.037366579439,0.009664300787998858,0.4902
74,4845.520591449676,0.008608650792597658,0.4892
75,4846.731303439246,0.008053937192003145,0.4822
76,4851.526033148809,0.008090141100851078,0.4938
77,4840.663005608055,0.008324450158079297,0.48
78,4842.772735904708,0.008289636772049767,0.48
79,4833.3958642798825,0.008864688163927145,0.4832
80,4849.346013011167,0.008158431836126615,0.4884
81,4844.743225522838,0.008550481288585963,0.4804
82,4840.370753163716,0.008356862573883529,0.47
83,4845.643495879325,0.008441121896922936,0.4754
84,4838.459439625003,0.008714924097456871,0.477
85,4837.420218336287,0.00911625369210728,0.487
86,4845.921667673664,0.008451212520685774,0.5042
87,4831.198316630507,0.009752579936691536,0.4774
88,4850.271845389702,0.007940887929623648,0.4686
89,4846.69564295852,0.008655438472101437,0.4764
90,4846.3096902009465,0.008196590060600752,0.475
91,4843.123133459844,0.008425960994330668,0.4842
92,4842.784822385331,0.008950731795991524,0.4798
93,4841.39430460683,0.008262569412110924,0.4718
94,4845.333403830339,0.00811644575916637,0.4814
95,4845.7988324213,0.008330369200407646,0.4886
96,4843.727679033884,0.008443272290745726,0.479
97,4835.4424707376675,0.009103948176665353,0.4856
98,4854.8875615824145,0.007826096279067952,0.4738
99,4847.241673542821,0.008050600495596586,0.4828
100,4855.2740798273735,0.007470987253121067,0.488
101,4840.922700807254,0.008953620870283946,0.4902
102,4830.15561983966,0.009637480800592641,0.4862
103,4851.818143174167,0.0076790096965615165,0.4824
104,4846.472735759888,0.008042550791887714,0.4798
105,4834.570996934155,0.009309817958530862,0.4838
106,4846.822715366215,0.008484004155736682,0.4868
107,4845.239523095866,0.008857314720751304,0.4946
108,4837.908380514842,0.008751417236935908,0.4982
109,4854.261113006502,0.0077922997112162265,0.4826
110,4843.187807622767,0.008357617811406983,0.486
111,4845.397828214564,0.008525759803515536,0.4884
112,4842.269237117092,0.008738219317606868,0.4838
113,4842.927434518576,0.008636175615113897,0.4824
114,4840.563921094716,0.008316263209578574,0.489
115,4850.132685934527,0.00821128074897872,0.4766
116,4846.477285875219,0.008329523829385526,0.4778
117,4844.818547154764,0.008482844851093284,0.4784
118,4826.220522719853,0.00988302221095832,0.4848
119,4848.167959781748,0.007970067220972758,0.4788
120,4844.241968302362,0.008398896226583984,0.4752
121,4839.833665129202,0.009153071536101965,0.491
122,4841.480486114811,0.008785234576394003,0.4794
123,4849.3088162082995,0.00795395360833335,0.4856
124,4840.8933617574085,0.00843313033840484,0.4814
125,4854.805871292241,0.008134402041028497,0.4894
126,4837.071133067383,0.008795324109607615,0.4828
127,4849.1731336382645,0.008356522343533703,0.4984
128,4850.186904554245,0.008009285193522297,0.4926
129,4843.968411326787,0.008418895663478006,0.4894
130,4831.663187905005,0.009587266561308833,0.4786
131,4846.493529602723,0.008406614528075817,0.4824
132,4838.384062604226,0.008981728851860108,0.4872
133,4846.989299110245,0.008140654763096816,0.4834
134,4843.887209851325,0.008170221060749395,0.4688
135,4846.263397823384,0.008119959360530539,0.4872
136,4843.764736934687,0.008565427606319434,0.4864
137,4841.063542927828,0.008711081546435273,0.48
138,4842.812873207098,0.008393584899571533,0.484
139,4850.348230130503,0.008148683200981947,0.4824
140,4837.878648160377,0.008518674936548494,0.4832
141,4837.176715794986,0.008850565853282236,0.4978
142,4855.064605724998,0.007167969097659066,0.4782
143,4849.065350805591,0.007809101249815599,0.4684
144,4850.642285695403,0.008029624872584304,0.4932
145,4849.336856877173,0.0077443363225067376,0.5008
146,4836.477598999169,0.009326804819920976,0.4908
147,4849.376081822578,0.008263036741073287,0.4722
148,4848.1555377075365,0.00854631750003237,0.4964
149,4836.1339286722405,0.00943320717904615,0.4876
150,4843.02733224734,0.008437717847356108,0.4836
151,4849.39724188999,0.008299428760948729,0.4736
152,4836.903203630796,0.00962877822866715,0.4876
153,4844.331804468904,0.008255313332765492,0.4716
154,4842.528570710265,0.008594999718525778,0.4784
155,4852.281653737503,0.007908009661563294,0.4804
156,4842.524070509138,0.008554242061473863,0.473
157,4841.204352489396,0.008882607930045472,0.4728
158,4848.682710982055,0.0080413510777104,0.4838
159,4835.664613600316,0.00896403482470713,0.483
160,4835.926502006738,0.009162145786213325,0.4834
161,4841.701326653785,0.008913383536637948,0.4864
162,4843.664094872031,0.008714740038829901,0.4868
163,4834.8769410191835,0.00951436747478383,0.4784
