Batch No,SSE,Silhouette Score,Accuracy
0,975.9919343330024,0.003960347355654272,0.476
1,979.2625625924958,0.0036611796597150353,0.488
2,976.3743419615649,0.0020291037999202156,0.503
3,978.4555191572324,0.003518693148622311,0.512
4,979.1378017965606,0.002588505217326673,0.517
5,978.6904162792142,0.003247539601880236,0.478
6,977.2576362666646,0.004375936541571806,0.485
7,978.0193059942484,0.00252779790650198,0.512
8,979.8484163343842,0.0034921427269934786,0.509
9,975.3394674874238,0.0035191053667298256,0.51
10,977.5518494099554,0.0034581945894704455,0.487
11,975.6946908966786,0.004822610170855091,0.511
12,975.544746796117,0.004213689515085096,0.462
13,976.2594114988137,0.0020306335755547406,0.498
14,977.4453655031955,0.0033233007163281677,0.485
15,975.5095116827347,0.0047276487462656605,0.52
16,975.7937366297274,0.004362405723131666,0.492
17,974.3059993858362,0.0037283526580438593,0.509
18,971.5409065321994,0.006186157536396176,0.478
19,974.150275405415,0.004240628594556366,0.474
20,975.6530039886931,0.0039039622572183924,0.474
21,978.3660338935504,0.0030994863850344226,0.502
22,976.8827926581059,0.003528340549196226,0.501
23,979.6037025836315,0.002112386940687908,0.496
24,979.0857336148714,0.0023225280200218847,0.509
25,979.1745228625643,0.0034395688510359397,0.528
26,978.9593304939336,0.001993392863695698,0.507
27,976.4336432483409,0.005358922469950201,0.5
28,975.6861639039154,0.005064910563302927,0.514
29,982.582578937051,0.002368732240716905,0.508
30,976.593931342588,0.003760542537710779,0.466
31,977.580029330041,0.003648942349878477,0.53
32,980.5731531308284,0.0034780526452959236,0.494
33,978.0453945537419,0.0022742344863741926,0.483
34,977.932365602084,0.0019152930518544818,0.529
35,978.6050987358012,0.003633643935654185,0.49
36,980.2979001494939,0.001900272750815397,0.521
37,976.7841981597917,0.0036887480265418286,0.516
38,975.7297384279412,0.0031303828908017216,0.489
39,979.7042123514714,0.00364147108089173,0.506
40,972.6780511798629,0.0055611426381189846,0.514
41,976.0129370981003,0.004849860246096434,0.482
42,976.1787218224058,0.0039030012702750056,0.495
43,978.7238422162754,0.0035184715585725823,0.495
44,972.3282093497794,0.004664675008750523,0.49
45,972.7195844369965,0.0060855663948822195,0.521
46,973.9530088011489,0.003733634049632623,0.492
47,972.6653739872688,0.003980565282210731,0.506
48,978.3016834443599,0.002297712284338862,0.5
49,974.2593144871485,0.0036711506721571513,0.504
50,978.3303027512925,0.004106791362797657,0.506
51,980.8668721543397,0.0015507200431112305,0.512
52,973.077929085078,0.006235036514832582,0.486
53,974.658937019325,0.0039641832074324805,0.524
54,976.9159999909164,0.0037813758681146644,0.499
55,976.7372350465342,0.0028167596733557447,0.498
56,977.8928274985021,0.002555266952332732,0.49
57,975.1022907771729,0.0037253499307343322,0.485
58,976.7318668265743,0.0045175834377846925,0.488
59,972.8879025918853,0.004685662625668177,0.501
60,975.2435415482586,0.003515132747592824,0.489
61,976.6626472166315,0.0035301714352660046,0.518
62,977.1582581297919,0.0022348070879856605,0.493
